VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,CDA,132,CDA-C007-C067-C074-C072-C014-C035-C084-C023-C034-C043-C050-CDA,11,12-12-12-12-12-12-12-12-12-12-12,36.6,54.9,33830
VEH002,CDA,132,CDA-C056-C022-C051-C060-C036-C008-C088-C070-C068-C079-C089-CDA,11,12-12-12-12-12-12-12-12-12-12-12,61.8,92.7,57148
VEH003,CDA,128,CDA-C005-C077-C031-C006-C057-C039-C030-C085-C038-C044-C062-CDA,11,12-12-11-12-9-12-12-12-12-12-12,48.3,72.4,44641
VEH004,CDA,131,CDA-C075-C087-C013-C017-C019-C064-C033-C042-C065-C076-C046-C080-CDA,12,12-10-8-12-12-12-12-12-12-12-12-5,59.8,89.7,55318
VEH005,CDA,132,CDA-C015-C059-C037-C054-C027-C083-C053-C025-C052-C086-C073-CDA,11,12-12-12-12-12-12-12-12-12-12-12,48.6,73.0,44975
VEH006,CDA,132,CDA-C058-C066-C004-C047-C002-C063-C081-C082-C041-C012-C020-CDA,11,12-12-12-12-12-12-12-12-12-12-12,26.6,39.9,24627
VEH007,CDA,132,CDA-C009-C069-C090-C010-C024-C040-C078-C029-C021-C071-C049-CDA,11,12-12-12-12-12-12-12-12-12-12-12,35.0,52.5,32370
VEH008,CDA,132,CDA-C011-C001-C026-C003-C016-C018-C045-C048-C028-C055-C032-CDA,11,12-12-12-12-12-12-12-12-12-12-12,40.3,60.5,37302
VEH009,CDA,12,CDA-C061-CDA,1,12,4.8,7.2,4468
